;Term;Occurrences;Stopword
créateurs;créateur;2;
créatif;créatif;1;
creation;creation;1;
création;création;8;
créations;création;3;
créativité;créativ;3;
créatrice;créatric;3;
créatrices;créatric;1;
crédibilité;crédibil;2;
crédit;cred;4;
crédits;crédit;1;
crée;cré;1;
créé;cré;2;
créée;cré;2;
créées;cré;1;
créent;créent;5;
créer;cré;15;
créés;cré;1;
créteil;créteil;2;
creusé;creus;1;
creusent;creusent;1;
creuset;creuset;1;
criante;cri;1;
crime;crim;2;
criminels;criminel;2;
crise;cris;58;
crises;cris;8;
critique;critiqu;1;
critiquer;critiqu;1;
critiques;critiqu;1;
croie;croi;1;
croire;croir;7;
crois;crois;21;
croissance;croissanc;41;
croit;croit;1;
croître;croîtr;1;
croyait;croi;2;
croyance;croyanc;1;
croyances;croyanc;1;
croyez;croi;7;
croyions;croyion;1;
crucial;crucial;1;
cruciaux;crucial;1;
cruelle;cruel;1;
cruellement;cruel;2;
cruels;cruel;1;
culte;cult;2;
cultive;cultiv;1;
culture;cultur;25;
culturel;culturel;2;
culturelle;culturel;2;
culturelles;culturel;1;
culturels;culturel;1;
cultures;cultur;1;
cumul;cumul;1;
cumuls;cumul;1;
cur;cur;3;
cyclones;cyclon;1;
cynismes;cynism;1;
cyrille;cyrill;2;
dabord;dabord;2;
daech;daech;1;
dame;dam;5;
danger;dang;3;
dangereuse;danger;2;
dangereuses;danger;1;
dangereux;danger;7;
dangers;danger;1;
dappartenir;dapparten;1;
date;dat;5;
dautres;dautr;3;
davancer;davanc;2;
davantage;davantag;42;
débarrassé;débarrass;1;
débarrassée;débarrass;1;
debat;debat;1;
débat;débat;9;
débats;débat;9;
débattons;débatton;1;
débattre;débattr;5;
débit;deb;1;
débiteurs;débiteur;2;
débloquer;débloqu;1;
débordées;débord;2;
débordements;débord;1;
debout;debout;5;
debut;debut;3;
début;début;17;
débuté;début;1;
décalées;décal;2;
décembre;décembr;12;
décemment;décent;1;
décennie;décen;7;
décennies;décen;7;
décentralisation;décentralis;2;
déchaînement;déchaîn;1;
dechire;dechir;1;
dechiree;dechire;1;
déchirée;déchir;1;
déchirements;déchir;2;
déchirent;dech;2;
déchirer;déchir;3;
déchoir;déchoir;1;
décide;décid;2;
décidé;décid;9;
décidée;décid;1;
décidément;décid;1;
décident;décident;2;
decider;decid;1;
décider;décid;5;
déciderons;décid;1;
decides;decid;1;
décideurs;décideur;1;
décidons;décidon;2;
decime;decim;1;
décisif;décis;2;
décisifs;décis;1;
décision;décis;4;
décisions;décis;24;
décisive;décis;4;
declaration;declar;1;
déclaration;déclar;3;
déclenche;déclench;1;
déclin;déclin;1;
déconsidérer;déconsider;1;
découle;découl;1;
découpés;découp;1;
découragé;décourag;1;
découragement;décourag;1;
découvert;découvert;2;
découverte;découvert;3;
découvrir;découvr;2;
décrié;décri;1;
decrire;decrir;1;
decrites;decrit;1;
décrue;décru;1;
déçus;déçus;1;
défaillances;défaill;1;
défaillants;défaill;1;
défaire;défair;1;
défaisant;défais;1;
défait;def;1;
défaut;défaut;1;
defauts;defaut;1;
defavorisees;defavorise;2;
defavorises;defavoris;1;
défend;défend;2;
défendant;défend;4;
défendent;défendent;1;
défendions;défend;1;
défendons;défendon;1;
défendra;défendr;2;
défendrai;défendr;1;
défendre;défendr;12;
défendu;défendu;1;
défendue;défendu;1;
défense;défens;19;
défi;def;8;
deficit;defic;1;
déficit;défic;1;
déficits;déficit;3;
défigurés;défigur;1;
définitif;définit;1;
définitivement;définit;1;
défis;def;10;
défiscalisées;défiscalis;1;
défricher;défrich;1;
dégager;dégag;2;
dégâts;dégât;1;
dégradent;dégradent;1;
dehors;dehor;2;
deja;dej;3;
déjà;déjà;22;
déjouer;déjou;1;
déjouons;déjouon;1;
delà;delà;15;
délai;del;2;
délinquance;délinqu;2;
délinquants;délinqu;1;
délivre;délivr;1;
délocalisable;délocalis;1;
délocalisations;délocalis;1;
délocalise;délocalis;1;
délocaliser;délocalis;1;
démagogues;démagogu;1;
demain;demain;20;
demande;demand;14;
demandé;demand;16;
demandent;demandent;3;
demanderons;demand;1;
demandés;demand;2;
demandeurs;demandeur;2;
demandez;demand;5;
demandons;demandon;2;
démarches;démarch;1;
demeurant;demeur;1;
demeure;demeur;7;
demeurent;demeurent;2;
demeurer;demeur;2;
demeureront;demeur;1;
demeurez;demeur;1;
demi;dem;7;
démocratie;démocrat;25;
démocraties;démocrat;1;
democratique;democrat;1;
démocratique;démocrat;12;
democratiquement;democrat;1;
démocratiquement;démocrat;1;
démocratiques;démocrat;3;
démographie;démograph;1;
démographique;démograph;1;
démontré;démontr;2;
demontrer;demontr;2;
démontrer;démontr;1;
demplois;demplois;1;
demunis;demun;1;
démunis;démun;7;
dénergies;dénerg;1;
déni;den;1;
dénigrement;dénigr;2;
denis;den;3;
denoncant;denonc;1;
dentre;dentr;3;
départ;départ;2;
départementales;départemental;1;
departements;depart;4;
départements;départ;3;
dépasse;dep;2;
dépassé;dépass;2;
depassees;depasse;1;
dépasser;dépass;1;
dépassés;dépass;1;
dépassons;dépasson;1;
depend;depend;1;
dépend;dépend;12;
dépendance;dépend;4;
dépendante;dépend;1;
dépendantes;dépend;2;
dépendent;dépendent;2;
dependra;dependr;1;
dépensant;dépens;2;
dépense;dépens;1;
dépenser;dépens;3;
dépenses;dépens;11;
dépensons;dépenson;1;
dépériraient;déper;1;
dépit;dep;5;
déplacements;déplac;1;
déplacer;déplac;3;
deplacez;deplac;1;
déploie;déploi;2;
déploiement;déploi;1;
déploiera;déploi;1;
déploierai;déploi;1;
déployant;déploi;3;
déployer;déploi;2;
déployés;déploi;1;
déposé;dépos;1;
déraciner;déracin;1;
dérègle;déregl;1;
dérèglements;déregl;1;
derisoires;derisoir;1;
dernier;derni;23;
dernière;derni;7;
dernieres;dernier;1;
dernières;derni;9;
derniers;derni;18;
déroberai;dérob;1;
déroulée;déroul;2;
déroulent;déroulent;1;
dérouler;déroul;1;
derrière;derri;3;
dès;des;30;
desaccords;desaccord;1;
désaccords;désaccord;2;
désaltérer;désalter;2;
désarmement;désarm;6;
désarmer;désarm;1;
désarroi;désarroi;1;
désastres;désastr;1;
désendetter;désendet;1;
déséquilibres;déséquilibr;1;
désespérer;désesper;1;
désespérés;désesper;1;
désigner;désign;3;
désir;des;3;
désire;désir;1;
desiree;desire;1;
desirs;desir;1;
désordre;désordr;4;
désordres;désordr;1;
desorganisee;desorganise;1;
désorganisées;désorganis;1;
desormais;desorm;1;
désormais;désorm;12;
despoir;despoir;1;
despotisme;despot;3;
desquelles;desquel;3;
desquels;desquel;1;
dessein;dessein;2;
desserré;desserr;1;
desserrer;desserr;1;
dessine;dessin;1;
dessiner;dessin;1;
dessus;dessus;1;
destabilisation;destabilis;1;
destin;destin;14;
destinée;destin;3;
destinées;destin;1;
destruction;destruct;1;
désunion;désunion;1;
désunir;désun;2;
détendra;détendr;1;
détente;détent;1;
détenus;détenus;1;
déterminante;détermin;1;
détermination;détermin;15;
déterminé;détermin;1;
déterminées;détermin;1;
déterminés;détermin;1;
détourné;détourn;1;
détourner;détourn;1;
dêtre;dêtr;3;
détresse;détress;5;
détruire;détruir;2;
détruits;détruit;1;
dette;det;2;
dettes;det;1;
deuil;deuil;3;
deux;deux;32;
deuxieme;deuxiem;1;
deuxième;deuxiem;16;
devait;dev;1;
devant;dev;18;
dévastaient;dévast;1;
dévastation;dévast;1;
dévaste;dévast;1;
dévastées;dévast;1;
developpement;developp;1;
développement;développ;14;
développent;développent;1;
developper;developp;1;
développer;développ;5;
développés;développ;2;
devenir;deven;6;
devenu;devenu;3;
devenue;devenu;1;
devenus;devenus;1;
devez;dev;2;
deviendrons;deviendron;1;
devienne;devien;2;
devient;devient;2;
dévierai;dévi;1;
devions;devion;3;
devise;devis;2;
devoir;devoir;27;
devoirs;devoir;8;
devons;devon;47;
dévouement;dévou;2;
dévouent;dévouent;2;
dévoyée;dévoi;1;
devra;devr;12;
devraient;devr;1;
devrait;devr;2;
devrons;devron;1;
devront;devront;3;
dexception;dexcept;1;
dialoguant;dialogu;1;
dialogue;dialogu;26;
dialoguer;dialogu;1;
dialogues;dialogu;1;
dictature;dictatur;2;
dictatures;dictatur;1;
différées;differ;2;
différence;différent;2;
différences;différent;3;
différer;differ;1;
difficile;difficil;29;
difficilepour;difficilepour;1;
difficiles;difficil;20;
difficulté;difficult;6;
difficultes;difficult;11;
difficultés;difficult;28;
diffusion;diffus;1;
digne;dign;2;
dignement;dign;3;
dignes;dign;1;
dignite;dignit;2;
dignité;dignit;20;
dimension;dimens;7;
diminué;diminu;2;
diminuer;diminu;2;
dinnovation;dinnov;1;
dinquiétude;dinquiétud;1;
dinsécurité;dinsécur;1;
dintérêts;dintérêt;1;
dinvestissement;dinvest;1;
diplomatie;diplomat;5;
diplomatique;diplomat;1;
diplômée;diplôm;2;
dira;dir;1;
dirai;dir;2;
dirait;dir;1;
dire;dir;76;
direct;direct;1;
directement;direct;2;
directes;direct;1;
direction;direct;3;
direz;dir;1;
dirigeants;dirig;5;
diriger;dirig;1;
diront;diront;2;
dis;dis;12;
disais;dis;2;
disait;dis;1;
disant;dis;1;
discordantes;discord;1;
discorde;discord;1;
discours;discour;4;
discrete;discret;1;
discriminant;discrimin;1;
discrimination;discrimin;1;
discriminations;discrimin;6;
discussion;discuss;2;
discussions;discuss;1;
discuter;discut;3;
discutons;discuton;1;
disloquer;disloqu;1;
disparaîtront;disparaîtront;2;
disparition;disparit;1;
disparu;disparu;1;
dispersion;dispers;2;
disponible;disponibl;1;
disposer;dispos;1;
disposerez;dispos;1;
dispositif;disposit;2;
dispositifs;disposit;1;
dispositions;disposit;3;
dispute;disput;1;
dissimulé;dissimul;1;
dissimuler;dissimul;2;
dissimules;dissimul;1;
dissociez;dissoc;1;
dissuasion;dissuas;1;
distance;distanc;1;
distancer;distanc;1;
distances;distanc;1;
distingue;distingu;2;
distinguer;distingu;1;
distribution;distribu;1;
dites;dit;3;
divers;diver;3;
diversité;divers;7;
diversités;divers;1;
divisant;divis;1;
divise;divis;2;
divisé;divis;2;
divisee;divise;1;
divisent;divisent;2;
diviser;divis;5;
divisés;divis;1;
divisions;divis;8;
dix;dix;7;
dizaines;dizain;1;
djihadiste;djihad;1;
djihadistes;djihad;1;
dois;dois;7;
doit;doit;100;
doivent;doivent;20;
dom;dom;2;
domaine;domain;2;
domaines;domain;8;
dôme;dôm;2;
domestiquer;domestiqu;1;
domicile;domicil;1;
domination;domin;2;
dominent;dominent;2;
dominer;domin;2;
dommages;dommag;1;
don;don;2;
donc;donc;41;
donnant;don;3;
donne;don;9;
donné;don;4;
donnée;don;1;
donner;don;28;
donneraient;don;2;
donnerons;don;2;
donnons;donnon;1;
dons;don;1;
dont;dont;65;
dorian;dorian;2;
dormir;dorm;1;
dose;dos;1;
doses;dos;1;
dote;dot;1;
dotée;dot;1;
doter;dot;4;
dotés;dot;2;
double;doubl;3;
doublé;doubl;1;
doubler;doubl;1;
douleur;douleur;2;
douloureuse;doulour;1;
douloureusement;doulour;1;
douloureuses;doulour;1;
douloureux;doulour;2;
doute;dout;12;
doutent;doutent;2;
douter;dout;4;
doutes;dout;3;
doutez;dout;1;
doutre;doutr;1;
douze;douz;9;
dramatique;dramat;1;
dramatiques;dramat;1;
drame;dram;7;
drames;dram;5;
drapeau;drapeau;3;
drastique;drastiqu;1;
droit;droit;38;
droits;droit;30;
dû;dû;5;
dun;dun;1;
dune;dun;1;
dur;dur;3;
durable;durabl;7;
durant;dur;12;
durcie;durc;1;
dure;dur;2;
durée;dur;4;
durement;dur;6;
dures;dur;3;
dynamique;dynam;2;
dynamisme;dynam;9;
eau;eau;1;
éboueur;éboueur;2;
écart;écart;3;
écarté;écart;1;
ecarter;ecart;1;
écarter;écart;3;
ecartons;ecarton;1;
echangent;echangent;1;
échanger;échang;1;
echangerez;echang;1;
échanges;échang;4;
échappe;échapp;1;
échappent;échappent;1;
echapper;echapp;1;
échéance;échéanc;2;
échéances;échéanc;2;
échec;échec;3;
echelle;echel;1;
échelles;échel;1;
échoient;échoient;1;
échoue;échou;1;
eclaircit;eclairc;1;
éclaircit;éclairc;1;
éclairer;éclair;1;
éclaireront;éclair;1;
éclat;éclat;1;
éclatante;éclat;1;
éclaté;éclat;1;
éclatement;éclat;1;
école;écol;23;
écoles;écol;3;
écologie;écolog;1;
écologique;écolog;12;
écologiques;écolog;1;
économe;économ;1;
economie;econom;8;
économie;économ;30;
économies;économ;7;
economique;econom;2;
économique;économ;33;
économiquement;économ;1;
économiques;économ;14;
ecorchures;ecorchur;1;
écoulée;écoul;1;
écouler;écoul;1;
écoutant;écout;1;
écoute;écout;2;
écouté;écout;3;
écoutée;écout;3;
écoutent;écoutent;1;
écouter;écout;5;
écouterai;écout;5;
ecoutes;ecout;1;
écoutez;écout;2;
ecraser;ecras;1;
écraser;écras;1;
écrasés;écras;1;
écrirai;écrir;1;
écrit;écrit;1;
écroulée;écroul;2;
édifice;édific;1;
edimbourg;edimbourg;1;
edouard;edouard;2;
educateurs;educ;1;
education;educ;2;
éducation;éduc;13;
éduqué;éduqu;1;
eduquer;eduqu;1;
éduquer;éduqu;2;
effaçant;effac;3;
effacer;effac;1;
effaceront;effac;1;
effectifs;effect;1;
effectué;effectu;1;
effectuent;effectuent;1;
effet;effet;12;
effets;effet;4;
efficace;efficac;5;
efficacement;efficac;3;
efficaces;efficac;2;
efficacite;efficacit;1;
efficacité;efficac;6;
effondrement;effondr;1;
effondrer;effondr;1;
efforce;efforc;1;
efforcé;efforc;1;
efforcerait;efforc;1;
efforcés;efforc;1;
effort;effort;30;
efforts;effort;23;
effrayer;effrai;1;
egalement;egal;2;
également;égal;16;
égalitarisme;égalitar;1;
égalité;égal;20;
égard;égard;6;
égarer;égar;1;
église;églis;1;
égoïsme;égo;1;
égoïsmes;égo;2;
eh;eh;7;
élan;élan;10;
élargi;élarg;1;
élargie;élarg;2;
elargir;elarg;1;
élargisse;élarg;1;
élargissement;élarg;1;
election;elect;2;
élection;élect;8;
elections;elect;1;
élections;élect;10;
électoral;électoral;2;
électorales;électoral;1;
electricite;electricit;1;
électricité;électr;1;
électriques;électr;1;
électronique;électron;1;
élémentaires;élémentair;1;
éléments;élément;2;
élevant;élev;1;
élevé;élev;1;
élèvent;élèvent;1;
élèves;élev;3;
élevés;élev;2;
élimination;élimin;1;
élire;élir;1;
élisant;élis;1;
elles;elle;35;
éloignées;éloign;1;
eloignent;eloignent;1;
eloignes;eloign;2;
éloignés;éloign;2;
élu;élu;5;
élue;élu;1;
élus;élus;9;
émaillé;émaill;1;
émanciper;émancip;1;
emballages;emballag;1;
emballements;emball;1;
embauche;embauch;4;
embaucher;embauch;3;
embauches;embauch;1;
embrasé;embras;1;
embraserait;embras;1;
ème;ème;4;
émerge;émerg;1;
émergents;émergent;1;
émettant;émet;1;
émiettement;émiet;1;
éminente;éminent;1;
émissions;émiss;1;
emmanuel;emmanuel;1;
émotion;émot;8;
émotions;émot;1;
émousser;émouss;2;
emparer;empar;1;
empêché;empêch;1;
empêchée;empêch;1;
empêchent;empêchent;1;
empêcher;empêch;3;
empire;empir;2;
emploi;emploi;67;
emploient;emploient;1;
emplois;emplois;35;
employés;emploi;1;
employeur;employeur;2;
employeurs;employeur;2;
emporte;emport;4;
emporté;emport;1;
emportent;emportent;1;
emporter;emport;8;
emportera;emport;1;
empreinte;empreint;1;
emprunt;emprunt;2;
encadrées;encadr;2;
encadrement;encadr;1;
encore;encor;79;
encourage;encourag;2;
encouragé;encourag;1;
encouragement;encourag;2;
encourager;encourag;4;
endettement;endet;2;
endeuillées;endeuill;1;
endroit;endroit;1;
enduré;endur;1;
endurés;endur;1;
energetique;energet;1;
énergétique;énerget;5;
energie;energ;1;
énergie;énerg;22;
énergies;énerg;10;
énergiques;énerg;1;
enfant;enfant;4;
enfants;enfant;40;
enferment;enferment;1;
enfermer;enferm;2;
enfin;enfin;49;
engage;engag;7;
engagé;engag;18;
engageant;engag;3;
engagée;engag;3;
engagées;engag;5;
engagement;engag;27;
engagements;engag;5;
engagent;engagent;6;
engager;engag;3;
engagerai;engag;3;
engages;engag;2;
engagés;engag;9;
engendre;engendr;1;
engendrent;engendrent;2;
engendrer;engendr;1;
enjeu;enjeu;10;
enjeux;enjeux;7;
enlevé;enlev;1;
ennemis;ennem;1;
ennuyer;ennui;2;
enracinés;enracin;2;
enrayer;enrai;1;
enregistrent;enregistrent;1;
enrichie;enrich;1;
enrichira;enrich;1;
enrichissement;enrich;1;
ensanglantée;ensanglant;1;
enseignants;enseign;7;
enseignement;enseign;5;
ensemblcele;ensemblcel;1;
ensemble;ensembl;67;
ensembles;ensembl;1;
ensuite;ensuit;6;
entamerons;entam;1;
entend;entend;2;
entende;entend;1;
entendre;entendr;4;
entends;entend;7;
entendu;entendu;5;
entendue;entendu;1;
entendues;entendu;2;
entente;entent;3;
enthousiasme;enthousiasm;9;
enthousiasmer;enthousiasm;2;
enthousiasmes;enthousiasm;2;
enthousiaste;enthousiast;1;
entier;enti;9;
entière;entier;5;
entièrement;entier;2;
entières;entier;1;
entiers;entier;2;
entoure;entour;2;
entourés;entour;1;
entraide;entraid;2;
entraîné;entraîn;1;
entraînements;entraîn;3;
entraîner;entraîn;3;
entraînerait;entraîn;1;
entravé;entrav;1;
entravées;entrav;1;
entravent;entravent;1;
entre;entre;120;
entrée;entré;2;
entrent;entrent;1;
entreprenant;entrepren;1;
entreprendre;entreprendr;4;
entrepreneur;entrepreneur;3;
entrepreneurs;entrepreneur;8;
entrepreneurscomme;entrepreneurscomm;1;
entreprenons;entreprenon;1;
entrepris;entrepr;2;
entreprise;entrepris;13;
entreprises;entrepris;36;
entrer;entrer;2;
entrevoir;entrevoir;2;
entrouvrent;entrouvrent;1;
énumérer;énumer;1;
envers;enver;1;
envie;envi;3;
envié;envi;1;
enviée;envi;1;
environnement;environ;18;
environnemental;environnemental;1;
envoyant;envoi;2;
épanouir;épanou;1;
épanouisse;épanou;1;
epanouissement;epanou;1;
épanouissent;épanou;1;
epargnait;epargn;1;
epargne;epargn;2;
épargne;épargn;2;
épargné;épargn;1;
épargnerait;épargn;2;
épargnés;épargn;2;
épidémie;épidem;11;
épidémies;épidem;1;
epoque;epoqu;2;
époque;époqu;7;
epreuve;epreuv;1;
épreuve;épreuv;19;
épreuves;épreuv;13;
épris;épris;1;
éprouvé;éprouv;2;
éprouvée;éprouv;2;
éprouvent;éprouvent;1;
éprouveront;éprouv;1;
éprouvés;éprouv;5;
épuise;épuis;2;
epuisera;epuis;1;
équilibrant;équilibr;1;
equilibre;equilibr;2;
équilibre;équilibr;10;
équilibres;équilibr;3;
équilibrés;équilibr;1;
équilire;équilir;1;
équipage;équipag;1;
équipe;équip;1;
équipement;équip;1;
équipes;équip;3;
équitable;équit;3;
équitablement;équit;1;
équitables;équit;1;
équité;équit;2;
equivalant;equival;1;
er;er;7;
éradiquer;éradiqu;1;
ère;ère;4;
erika;erik;1;
erreur;erreur;2;
erreurs;erreur;2;
escale;escal;1;
espace;espac;4;
espaces;espac;1;
espagne;espagn;1;
espagnols;espagnol;2;
espérait;esper;2;
espérance;esper;18;
espérances;esper;2;
espere;esper;2;
espère;esper;4;
espéré;esper;1;
espérer;esper;4;
espoir;espoir;38;
espoirs;espoir;8;
esprit;esprit;36;
esprits;esprit;2;
esquisse;esquiss;1;
esquissé;esquiss;1;
esquiver;esquiv;1;
essayé;essai;2;
essayer;essai;2;
essentiel;essentiel;12;
essentielle;essentiel;5;
essentiellement;essentiel;1;
essentielles;essentiel;6;
essentiels;essentiel;6;
estaing;estaing;2;
estime;estim;3;
estimée;estim;1;
estraisonnable;estraison;1;
établir;établ;1;
établirai;établ;1;
établissements;établ;1;
etaient;etaient;1;
etait;etait;2;
étape;étap;6;
étapes;étap;3;
etat;etat;43;
état;état;9;
étatiques;état;1;
etats;etat;16;
ete;ete;11;
êtees;ête;1;
éteindront;éteindront;2;
éteintes;éteint;2;
étende;étend;1;
étendre;étendr;3;
etes;ete;1;
éthique;éthiqu;3;
éthiques;éthiqu;1;
ethnique;ethniqu;1;
etienne;etien;1;
étonnante;éton;1;
étonnement;éton;1;
étouffe;étouff;1;
étouffer;étouff;1;
etranger;etrang;3;
étranger;étrang;22;
étrangère;étranger;2;
étrangères;étranger;1;
étrangers;étranger;2;
etre;etre;10;
étreint;étreint;1;
etres;etre;1;
êtres;être;2;
étrier;étri;1;
etroites;etroit;1;
etudes;etud;1;
études;étud;1;
étudiants;étudi;3;
étudie;étud;1;
euro;euro;18;
europe;europ;154;
européen;européen;19;
europeenne;europeen;1;
européenne;européen;30;
européennes;européen;3;
européens;européen;13;
euros;euros;6;
évacuer;évacu;2;
éveiller;éveil;1;
evenement;even;1;
événement;éven;1;
événementiel;événementiel;1;
évènementiel;évènementiel;2;
événements;éven;6;
évènements;éven;1;
evidemment;evident;2;
évidemment;évident;6;
évidence;évident;1;
évident;évident;3;
évité;évit;1;
éviter;évit;8;
évitons;éviton;1;
évoluent;évoluent;2;
évoluer;évolu;2;
evolution;evolu;2;
évolution;évolu;1;
évolutions;évolu;5;
ex;ex;2;
exacerber;exacerb;1;
exacte;exact;1;
exactement;exact;3;
examines;examin;1;
exaspération;exasper;2;
exaspèrent;exasp;1;
excellence;excellent;4;
exception;except;2;
exceptionnel;exceptionnel;2;
exceptionnelle;exceptionnel;2;
exceptionnelles;exceptionnel;1;
exceptionnels;exceptionnel;1;
excès;exces;4;
excessif;excess;1;
excessives;excess;3;
exclu;exclu;1;
exclus;exclus;5;
exclusion;exclus;10;
exclusions;exclus;1;
exclut;exclut;1;
exemplaire;exemplair;4;
exemplaires;exemplair;4;
exemplarité;exemplar;1;
exemple;exempl;13;
exemples;exempl;3;
exercent;exercent;1;
exercer;exerc;1;
exercice;exercic;2;
exige;exig;5;
exigé;exig;1;
exigeante;exig;2;
exigence;exigent;14;
exigences;exigent;4;
exigent;exigent;1;
exiles;exil;1;
existantes;exist;1;
existe;exist;2;
existence;existent;3;
existent;existent;3;
exister;exist;2;
exonérer;exoner;2;
expansion;expans;2;
experience;experient;1;
expérience;expérient;3;
expériences;expérient;1;
explication;expliqu;1;
explique;expliqu;1;
expliquerai;expliqu;1;
exploitants;exploit;1;
explorer;explor;1;
exportation;export;1;
exporte;export;1;
exporté;export;1;
exportent;exportent;1;
exporter;export;1;
exportons;exporton;1;
exposition;exposit;1;
expression;express;2;
exprimait;exprim;1;
exprimant;exprim;1;
exprime;exprim;11;
exprimée;exprim;1;
exprimées;exprim;2;
expriment;expriment;2;
exprimer;exprim;13;
exprimera;exprim;1;
extension;extens;2;
exterieur;exterieur;3;
extérieur;extérieur;4;
extérieure;extérieur;2;
extérieures;extérieur;1;
extérieurs;extérieur;1;
extirper;extirp;1;
extraordinaire;extraordinair;3;
extravagants;extravag;1;
extrémisme;extrem;1;
extrémismes;extrem;1;
extrémistes;extrem;2;
face;fac;56;
facile;facil;5;
facilement;facil;1;
faciles;facil;2;
facilité;facil;1;
faciliter;facilit;1;
facilités;facil;2;
façon;façon;11;
facteur;facteur;1;
facteurs;facteur;1;
facture;factur;1;
facultative;facult;1;
faculté;facult;1;
facultes;facult;2;
facultés;facult;1;
faible;faibl;4;
faiblement;faibl;1;
faibles;faibl;4;
faiblit;faibl;1;
faille;faill;1;
faillite;faillit;1;
faim;faim;5;
faire;fair;152;
fais;fais;5;
faisant;fais;5;
faisons;faison;18;
fait;fait;86;
faite;fait;6;
faites;fait;8;
faits;fait;6;
fallait;fall;1;
fallavier;fallavi;1;
falloir;falloir;1;
fallu;fallu;2;
familiale;familial;1;
familiales;familial;2;
familiaux;familial;1;
famille;famill;37;
familles;famill;23;
fanatisme;fanat;1;
fardeau;fardeau;2;
fasse;fass;3;
fassent;fassent;2;
fatale;fatal;1;
fatalite;fatalit;2;
fatalité;fatal;4;
fatigue;fatigu;2;
faudra;faudr;11;
faudrait;faudr;1;
fausses;fauss;3;
faut;faut;63;
faute;faut;1;
faveur;faveur;7;
favorable;favor;1;
favorise;favoris;1;
favoriser;favoris;2;
favorises;favoris;1;
favorisés;favoris;3;
femme;femm;5;
femmes;femm;23;
fer;fer;1;
fera;fer;4;
ferai;fer;10;
ferait;fer;1;
ferez;fer;2;
ferme;ferm;2;
fermement;ferm;2;
fermer;ferm;1;
fermeté;fermet;3;
fermeture;fermetur;3;
ferons;feron;10;
feront;feront;2;
fete;fet;5;
fête;fêt;4;
fêter;fêt;6;
fêtes;fêt;4;
fêtions;fêtion;1;
feu;feu;1;
février;févri;1;
fez;fez;1;
fi;fi;1;
fiancé;fianc;1;
fidèle;fidel;11;
fidèles;fidel;3;
fidélité;fidel;1;
fier;fi;13;
fière;fier;3;
fiers;fier;16;
fierté;fiert;6;
fièvres;fievr;1;
figé;fig;1;
figeant;fig;1;
fil;fil;3;
filières;fili;3;
filles;fill;1;
fillon;fillon;3;
fils;fil;3;
fin;fin;33;
finalement;final;1;
finance;financ;4;
financement;financ;5;
financer;financ;1;
finances;financ;1;
financier;financi;2;
financière;financi;7;
financièrement;financi;1;
financières;financi;4;
financiers;financi;2;
finir;fin;3;
finirons;fin;1;
finissez;fin;1;
finit;fin;1;
finul;finul;1;
fiscal;fiscal;1;
fiscale;fiscal;3;
fiscalité;fiscal;5;
fiscaux;fiscal;1;
fixant;fix;1;
fixe;fix;1;
fixé;fix;4;
fixée;fix;1;
flamber;flamb;1;
fléau;fléau;2;
flèche;flech;1;
fleurs;fleur;1;
foi;foi;2;
fois;fois;53;
folie;fol;1;
folle;foll;1;
fonction;fonction;7;
fonctionnaires;fonctionnair;3;
fonctionne;fonction;1;
fonctionné;fonction;1;
fonctionnement;fonction;1;
fonctions;fonction;1;
fond;fond;18;
fondamentale;fondamental;3;
fondamentalisme;fondamental;1;
fondé;fond;3;
fondée;fond;1;
fondement;fond;4;
fondent;fondent;3;
fonds;fond;2;
font;font;23;
fontainebleau;fontainebleau;1;
football;football;1;
footballeuse;football;2;
forages;forag;1;
force;forc;26;
forcément;forc;1;
forces;forc;34;
forêt;forêt;1;
forêts;forêt;1;
forgé;forg;2;
formalite;formalit;1;
formalites;formalit;1;
formalités;formal;1;
formant;form;3;
formation;format;24;
formations;format;2;
forme;form;20;
formé;form;3;
former;form;10;
formes;form;1;
formés;form;2;
formidable;formid;6;
formons;formon;1;
formuler;formul;2;
fort;fort;17;
forte;fort;40;
fortement;fort;5;
fortes;fort;6;
fortifié;fortifi;1;
fortifiée;fortifi;1;
forts;fort;11;
fortunes;fortun;1;
fossé;foss;1;
foule;foul;1;
foules;foul;1;
fourni;fourn;1;
fournira;fourn;1;
fourvoyer;fourvoi;1;
foyers;foyer;4;
fracas;frac;1;
fracasser;fracass;1;
fracture;fractur;2;
fractures;fractur;1;
fragile;fragil;1;
fragiles;fragil;10;
fragilité;fragil;3;
fragrant;fragr;1;
fraîchement;fraîch;2;
franc;franc;2;
francais;franc;41;
français;franc;116;
francaise;francais;11;
française;français;29;
francaises;francais;6;
françaises;français;26;
france;franc;405;
franchement;franch;1;
franchie;franch;1;
franchies;franch;1;
franchir;franch;2;
franchira;franch;1;
franchit;franch;1;
françois;françois;3;
francophone;francophon;1;
francophones;francophon;1;
francs;franc;1;
frappait;frapp;1;
frappe;frapp;7;
frappé;frapp;4;
frappées;frapp;1;
frappes;frapp;4;
fraternel;fraternel;2;
fraternelle;fraternel;11;
fraternelles;fraternel;1;
fraternels;fraternel;1;
fraternite;fraternit;9;
fraternité;fratern;15;
fraternités;fratern;1;
freinaient;frein;1;
freinée;frein;1;
freinent;freinent;1;
freiner;frein;1;
frémit;frem;2;
fréquente;fréquent;1;
frères;frer;1;
frncais;frncais;1;
froid;froid;6;
froide;froid;3;
front;front;1;
frontière;fronti;1;
frontières;fronti;12;
